// W=16 TW=16  fields: ur ui br bi cos sin | o0r o0i o1r o1i
71E5 2006 2F26 65AF E0E6 7C2A 648A ECCB 0D5C 333C
4693 556A B9A7 8E37 4B9E 6747 E09B 257A 65F9 2FF0
C8FA 5FA1 69A1 8159 00C9 7FFF A57D FA9D 237D 6504
523C A1A6 4C0C 9E7C 0D54 7F4E FC96 A5EE 55A7 FBB8
5103 CD93 D773 C746 AECC 62F2 1F72 0874 3192 C51F
C13F 7D8E F1F0 FA67 FE6E 7FFE DDE9 45D8 E356 37B7
1521 0DB2 026B 7ED9 96E6 490F 2DC6 D215 E75C 3B9E
4AEB 3345 1F47 D74D 8016 04B6 1515 2D65 35D6 05E0
F75A B71E 5857 A903 8CA1 3770 C107 EFA2 3654 C77D
1CCF 9D5D 8B3F F1DB 7F38 0E1C D39B CE17 4935 CF47
A43D 03CF 7863 F759 96E6 490F 9E3A E31A 0604 20B6
6ACB 52CE 2114 F0FF FA81 7FE2 2D31 1934 3D9A 399B
C42A FF33 E11E BF5D 800A 0324 F0BA 204A D370 DEEA
8304 98E1 B141 7811 B796 698C 0949 CAF2 8000 CDF0
61C0 B35A 3891 DE99 04B6 7FEA 213A BCCC 4086 F68E
80F4 1E17 547E 29E7 7141 3BA5 EF9F 0DE6 9156 1032
08A7 C481 7703 615D 6ADD 4675 50CE EA24 B7DA DA5D
0281 7093 58DE 353A C9FC 740B 06A1 04C6 FBE0 6BCD
8AC7 3DE4 F938 976C 5C29 58D4 9EA9 FBA7 EC1E 423E
0A88 3A0E 01FD 1CEA 8A5A 326E 0A0C 0F59 007C 2AB5
2F9F DC7B 24AB 1922 78C8 2A62 2D46 F407 025A E874
8F2B 2900 E33B 192C 43D1 6C8F CAA3 275E C488 01A2
B9C4 A673 E1AF 50FB 2768 79C9 FEBE EE1D BB07 B857
E123 134C 7A8F E46A DC59 7AEF D241 D2A3 0EE2 40A9
F082 1AE4 F219 2353 ED38 7E9D 0ABF 11BB E5C4 0929
2D2B 74EE A69A 0FC7 1833 7DB1 15E1 67DA 174A 0D15
